recipe_name,ingredient_name,quantity,unit,steps
30-Minute Chicken Curry,rapeseed or sunflower oil,2.0,tbsp,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,"garlic cloves, finely grated",4.0,,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,"green chillies, 1 finely chopped, 1 sliced to serve (optional)",2.0,,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,passata,350.0,g,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,garam masala,1.0,tsp,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,ground coriander,1.0,tsp,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,ground turmeric,0.5,tsp,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,chilli powder,0.5,tsp,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,honey,0.5,tsp,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
30-Minute Chicken Curry,dried fenugreek leaves,1.0,tbsp,"Heat the oil in a large, lidded saucepan over a medium-high heat, then add the garlic and chopped green chilli. Once these start to sizzle, pour in the passata, then cover and cook over a medium heat for 8 mins. Meanwhile, prepare the chicken. Put the yogurt, all the spices and ½ tsp salt in a bowl, and mix well. Add the chicken and mix until well coated. Set aside and keep covered until needed, or marinate for up to 24 hrs, if you have time. | Once the passata is cooked, stir in the spices along with 100ml boiling water from the kettle. Scrape the excess marinade off the chicken and into the pan, then add the chicken, cover and cook over a medium heat for 10-12 mins until cooked through. Add the honey and fenugreek, and mix well. To serve, drizzle with the cream, sprinkle over the coriander leaves and the sliced green chilli, if using. Serve with cooked rice."
